customer_id,customer_tenure,customer_location,customer_type,order_id,order_date,order_value,payment_method,order_frequency,discount_applied,return_status,product_category,product_sku,size,inventory_status,source,engagement_score
CUST00001,39,Delhi,Returning,ORD000001,08/12/2023,4015.21,Net Banking,9,5,No,Jackets,SKU0001,XXL,In Stock,Word of Mouth,36
CUST00002,52,Hyderabad,Returning,ORD000002,06/09/2023,2205.61,Credit Card,3,15,No,T-Shirts,SKU0002,S,Out of Stock,Google Ads,37
CUST00003,29,Pune,Returning,ORD000003,01/05/2023,858.84,Net Banking,8,30,No,T-Shirts,SKU0003,L,In Stock,Email Marketing,95
CUST00004,15,Jaipur,Returning,ORD000004,02/03/2023,500,UPI,1,0,No,T-Shirts,SKU0004,XXL,In Stock,Word of Mouth,10
CUST00005,43,Pune,Returning,ORD000005,11/04/2023,1843.5,Wallet,9,40,Yes,Sweatshirts,SKU0005,L,In Stock,Word of Mouth,0
CUST00006,8,Delhi,New,ORD000006,28/01/2023,720.5,COD,9,20,No,T-Shirts,SKU0006,XXL,In Stock,Email Marketing,24
CUST00007,21,Delhi,Returning,ORD000007,28/04/2023,6396.56,Net Banking,2,30,Yes,T-Shirts,SKU0007,XXL,In Stock,Instagram,41
CUST00008,39,Delhi,Returning,ORD000008,03/04/2023,1524.44,Net Banking,4,15,Yes,Shirts,SKU0008,S,In Stock,Email Marketing,51
CUST00009,58,Kolkata,Returning,ORD000009,23/02/2023,1483.44,Credit Card,8,25,No,T-Shirts,SKU0009,M,In Stock,Facebook Ads,23
CUST00010,19,Kolkata,Returning,ORD000010,21/05/2023,500,Credit Card,7,0,No,Jeans,SKU0010,XXL,In Stock,Email Marketing,52
CUST00011,23,Bangalore,Returning,ORD000011,20/01/2023,2100.52,Net Banking,1,30,No,Jackets,SKU0011,XXL,In Stock,Instagram,55
CUST00012,11,Bangalore,New,ORD000012,06/08/2023,1503.2,UPI,5,0,No,Sweatshirts,SKU0012,S,In Stock,Email Marketing,62
CUST00013,11,Delhi,New,ORD000013,11/08/2023,5106.59,COD,7,30,No,Dresses,SKU0013,M,Out of Stock,Word of Mouth,80
CUST00014,24,Hyderabad,Returning,ORD000014,28/07/2023,2752.71,Credit Card,4,50,No,Jackets,SKU0014,XL,In Stock,Google Ads,7
CUST00015,53,Mumbai,Returning,ORD000015,30/08/2023,2486.7,UPI,1,0,No,Shirts,SKU0015,XL,In Stock,Word of Mouth,58
CUST00016,36,Kolkata,Returning,ORD000016,18/04/2023,2297.99,Wallet,9,0,No,Sweatshirts,SKU0016,M,In Stock,Google Ads,44
CUST00017,40,Hyderabad,Returning,ORD000017,18/07/2023,3679.26,Credit Card,5,25,No,Sweatshirts,SKU0017,L,In Stock,Email Marketing,26
CUST00018,24,Chennai,Returning,ORD000018,23/02/2023,1821.51,UPI,2,0,No,Jeans,SKU0018,S,In Stock,Facebook Ads,51
CUST00019,3,Kolkata,New,ORD000019,17/04/2023,3500.81,UPI,8,30,No,Jackets,SKU0019,M,In Stock,Email Marketing,17
CUST00020,22,Kolkata,Returning,ORD000020,08/07/2023,4920.95,COD,2,0,Yes,Jackets,SKU0020,XL,In Stock,Instagram,90
CUST00021,53,Bangalore,Returning,ORD000021,05/02/2023,3190.11,COD,3,0,No,T-Shirts,SKU0021,XXL,In Stock,Email Marketing,85
CUST00022,2,Mumbai,New,ORD000022,19/04/2023,2125.4,Wallet,1,50,No,Jeans,SKU0022,XL,In Stock,Google Ads,15
CUST00023,24,Mumbai,Returning,ORD000023,17/04/2023,1069.81,UPI,2,20,No,T-Shirts,SKU0023,XXL,Out of Stock,Word of Mouth,65
CUST00024,44,Jaipur,Returning,ORD000024,21/07/2023,2087.31,UPI,7,30,Yes,T-Shirts,SKU0024,S,Out of Stock,Facebook Ads,4
CUST00025,30,Pune,Returning,ORD000025,11/07/2023,3344.62,COD,2,5,No,Sweatshirts,SKU0025,XXL,In Stock,Email Marketing,81
CUST00026,38,Pune,Returning,ORD000026,07/02/2023,500,Credit Card,6,20,No,Jackets,SKU0026,M,In Stock,Email Marketing,2
CUST00027,2,Pune,New,ORD000027,01/07/2023,3747.31,Credit Card,3,15,No,T-Shirts,SKU0027,XXL,In Stock,Word of Mouth,90
CUST00028,60,Pune,Returning,ORD000028,30/12/2023,2811.42,Net Banking,4,20,Yes,Shirts,SKU0028,L,In Stock,Facebook Ads,80
CUST00029,21,Chennai,Returning,ORD000029,13/04/2023,2276.22,COD,8,20,No,Shirts,SKU0029,M,In Stock,Email Marketing,79
CUST00030,33,Chennai,Returning,ORD000030,23/11/2023,1510.88,Net Banking,3,15,No,Jackets,SKU0030,S,In Stock,Email Marketing,69
CUST00031,12,Kolkata,New,ORD000031,11/12/2023,1785.43,COD,6,10,No,Shirts,SKU0031,M,In Stock,Google Ads,6
CUST00032,58,Delhi,Returning,ORD000032,01/06/2023,3395.96,Wallet,1,0,No,Sweatshirts,SKU0032,L,In Stock,Google Ads,49
CUST00033,22,Bangalore,Returning,ORD000033,31/03/2023,2307.68,UPI,7,25,No,Jeans,SKU0033,S,In Stock,Instagram,13
CUST00034,44,Bangalore,Returning,ORD000034,16/06/2023,1748.29,Wallet,8,0,No,Dresses,SKU0034,XL,In Stock,Word of Mouth,37
CUST00035,25,Pune,Returning,ORD000035,19/04/2023,3202.85,COD,8,20,Yes,T-Shirts,SKU0035,L,In Stock,Facebook Ads,78
CUST00036,49,Kolkata,Returning,ORD000036,30/04/2023,3262.28,UPI,3,0,Yes,Dresses,SKU0036,S,In Stock,Email Marketing,46
CUST00037,27,Jaipur,Returning,ORD000037,22/09/2023,626.24,Credit Card,1,20,No,Jeans,SKU0037,XXL,In Stock,Email Marketing,32
CUST00038,59,Hyderabad,Returning,ORD000038,28/11/2023,3357.22,Credit Card,9,25,No,Jeans,SKU0038,M,In Stock,Instagram,42
CUST00039,42,Delhi,Returning,ORD000039,08/03/2023,6252.55,Net Banking,6,0,Yes,Sweatshirts,SKU0039,S,In Stock,Email Marketing,90
CUST00040,28,Kolkata,Returning,ORD000040,03/06/2023,3204.43,COD,9,0,No,Shirts,SKU0040,M,In Stock,Word of Mouth,28
CUST00041,60,Delhi,Returning,ORD000041,05/01/2023,500,COD,7,0,No,Shirts,SKU0041,XXL,In Stock,Instagram,56
CUST00042,16,Delhi,Returning,ORD000042,07/07/2023,2766.06,Credit Card,1,20,Yes,Jeans,SKU0042,S,In Stock,Word of Mouth,100
CUST00043,15,Delhi,Returning,ORD000043,20/02/2023,500,Wallet,1,30,No,Sweatshirts,SKU0043,XL,In Stock,Instagram,4
CUST00044,47,Kolkata,Returning,ORD000044,28/01/2023,7251.06,UPI,6,0,Yes,Sweatshirts,SKU0044,L,In Stock,Email Marketing,92
CUST00045,51,Pune,Returning,ORD000045,04/10/2023,5853.51,Wallet,5,25,Yes,Jackets,SKU0045,S,Out of Stock,Instagram,95
CUST00046,44,Bangalore,Returning,ORD000046,03/10/2023,1501.09,Wallet,9,5,Yes,T-Shirts,SKU0046,XXL,In Stock,Google Ads,59
CUST00047,55,Bangalore,Returning,ORD000047,09/03/2023,500,Credit Card,2,10,No,Shirts,SKU0047,S,In Stock,Facebook Ads,69
CUST00048,52,Pune,Returning,ORD000048,21/10/2023,1182.44,Credit Card,8,40,Yes,Jeans,SKU0048,M,Out of Stock,Email Marketing,1
CUST00049,57,Delhi,Returning,ORD000049,18/09/2023,2228.51,Credit Card,5,5,Yes,Jackets,SKU0049,S,In Stock,Facebook Ads,69
CUST00050,3,Hyderabad,New,ORD000050,01/06/2023,500,Net Banking,2,10,No,Dresses,SKU0050,XL,In Stock,Email Marketing,42
CUST00051,37,Mumbai,Returning,ORD000051,01/08/2023,2396.47,Wallet,6,0,No,Shirts,SKU0051,S,In Stock,Facebook Ads,3
CUST00052,51,Kolkata,Returning,ORD000052,14/09/2023,2218.63,COD,8,0,No,T-Shirts,SKU0052,L,In Stock,Google Ads,55
CUST00053,7,Mumbai,New,ORD000053,11/09/2023,2687.73,UPI,4,0,No,Sweatshirts,SKU0053,S,In Stock,Facebook Ads,92
CUST00054,21,Jaipur,Returning,ORD000054,16/08/2023,2844.47,Net Banking,2,0,Yes,Jeans,SKU0054,M,In Stock,Instagram,58
CUST00055,9,Pune,New,ORD000055,12/10/2023,1051.57,COD,5,20,No,Shirts,SKU0055,S,In Stock,Facebook Ads,88
CUST00056,39,Hyderabad,Returning,ORD000056,05/03/2023,1219.88,Wallet,2,10,No,Dresses,SKU0056,XL,In Stock,Email Marketing,8
CUST00057,18,Kolkata,Returning,ORD000057,26/10/2023,2568.39,Credit Card,2,15,No,T-Shirts,SKU0057,XXL,In Stock,Word of Mouth,2
CUST00058,4,Pune,New,ORD000058,09/11/2023,1553.51,Wallet,6,0,No,T-Shirts,SKU0058,S,In Stock,Facebook Ads,89
CUST00059,25,Delhi,Returning,ORD000059,26/11/2023,3861.24,UPI,9,0,No,Jackets,SKU0059,S,In Stock,Facebook Ads,47
CUST00060,60,Bangalore,Returning,ORD000060,17/02/2023,2553.84,Net Banking,4,20,Yes,Shirts,SKU0060,L,In Stock,Facebook Ads,42
CUST00061,14,Mumbai,Returning,ORD000061,21/03/2023,5297.5,Net Banking,6,50,No,Dresses,SKU0061,XL,In Stock,Email Marketing,90
