customer_id,customer_tenure,customer_location,customer_type,order_id,order_date,order_value,payment_method,order_frequency,discount_applied,return_status,product_category,product_sku,size,inventory_status,source,engagement_score
CUST00001,39,Delhi,Returning,ORD000001,2023-12-08,4015.21,Net Banking,9,5,No,Jackets,SKU0001,XXL,In Stock,Word of Mouth,36
CUST00002,52,Hyderabad,Returning,ORD000002,2023-09-06,2205.61,Credit Card,3,15,No,T-Shirts,SKU0002,S,Out of Stock,Google Ads,37
CUST00003,29,Pune,Returning,ORD000003,2023-05-01,858.84,Net Banking,8,30,No,T-Shirts,SKU0003,L,In Stock,Email Marketing,95
CUST00004,15,Jaipur,Returning,ORD000004,2023-03-02,500.0,UPI,1,0,No,T-Shirts,SKU0004,XXL,In Stock,Word of Mouth,10
CUST00005,43,Pune,Returning,ORD000005,2023-04-11,1843.5,Wallet,9,40,Yes,Sweatshirts,SKU0005,L,In Stock,Word of Mouth,0
CUST00006,8,Delhi,New,ORD000006,2023-01-28,720.5,COD,9,20,No,T-Shirts,SKU0006,XXL,In Stock,Email Marketing,24
CUST00007,21,Delhi,Returning,ORD000007,2023-04-28,6396.56,Net Banking,2,30,Yes,T-Shirts,SKU0007,XXL,In Stock,Instagram,41
CUST00008,39,Delhi,Returning,ORD000008,2023-04-03,1524.44,Net Banking,4,15,Yes,Shirts,SKU0008,S,In Stock,Email Marketing,51
CUST00009,58,Kolkata,Returning,ORD000009,2023-02-23,1483.44,Credit Card,8,25,No,T-Shirts,SKU0009,M,In Stock,Facebook Ads,23
CUST00010,19,Kolkata,Returning,ORD000010,2023-05-21,500.0,Credit Card,7,0,No,Jeans,SKU0010,XXL,In Stock,Email Marketing,52
CUST00011,23,Bangalore,Returning,ORD000011,2023-01-20,2100.52,Net Banking,1,30,No,Jackets,SKU0011,XXL,In Stock,Instagram,55
CUST00012,11,Bangalore,New,ORD000012,2023-08-06,1503.2,UPI,5,0,No,Sweatshirts,SKU0012,S,In Stock,Email Marketing,62
CUST00013,11,Delhi,New,ORD000013,2023-08-11,5106.59,COD,7,30,No,Dresses,SKU0013,M,Out of Stock,Word of Mouth,80
CUST00014,24,Hyderabad,Returning,ORD000014,2023-07-28,2752.71,Credit Card,4,50,No,Jackets,SKU0014,XL,In Stock,Google Ads,7
CUST00015,53,Mumbai,Returning,ORD000015,2023-08-30,2486.7,UPI,1,0,No,Shirts,SKU0015,XL,In Stock,Word of Mouth,58
